sort_key,arch,backend,build_rev,format,name,platform,type,url,ver,ver_with_build_rev,padding
2020.10.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.10-01-linux-x86_64.tar.gz,2020.10,2020.10-01,
2020.09.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.09-01-win-x86_64.zip,2020.09,2020.09-01,
2020.09.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.09-01-macos-x86_64.tar.gz,2020.09,2020.09-01,
2020.09.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.09-01-linux-x86_64.tar.gz,2020.09,2020.09-01,
2020.08.21-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.08.2-01-win-x86_64.zip,2020.08.2,2020.08.2-01,
2020.08.21-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.08.2-01-macos-x86_64.tar.gz,2020.08.2,2020.08.2-01,
2020.08.21-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.08.2-01-linux-x86_64.tar.gz,2020.08.2,2020.08.2-01,
2020.08.11-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.08.1-01-win-x86_64.zip,2020.08.1,2020.08.1-01,
2020.08.11-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.08.1-01-macos-x86_64.tar.gz,2020.08.1,2020.08.1-01,
2020.08.11-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.08.1-01-linux-x86_64.tar.gz,2020.08.1,2020.08.1-01,
2020.07.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.07-01-win-x86_64.zip,2020.07,2020.07-01,
2020.07.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.07-01-macos-x86_64.tar.gz,2020.07,2020.07-01,
